intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
Business Development (Sales),EVA2Z,yes,Noida,3.5,18000,3.0,No,2025-06-27
Video Editing/Making,Marcadors Marketing Private Limited,no,Noida,0.0,5000,3.0,No,2025-06-27
State Insurance,Axi Workforce Pvt Ltd,yes,"Udhampur,Kathua,Rajauri",0.0,15000,6.0,yes,2025-06-27
3D Data Contribution (IPhone Pro Based),Indiaum Solutions,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Reality Capture (3D Modelling),Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-27
Business Development Manager,Kosqu Technolabs,no,Mumbai,5.0,20000,3.0,No,2025-06-27
3D Object Modelling (IPhone Pro Required),Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-27
Client Application Specialisation,Bridge2job,yes,Workfromhome,0.0,12000,6.0,No,2025-06-27
Video Editing/Making,Handcrafted By Arunima,no,"Delhi,Gurgaon",0.0,6000,3.0,No,2025-06-27
Hospitality,2COMS Consulting Private Limited,no,Auckland(NewZealand),0.0,25000,6.0,No,2025-06-27
Content and Social Media Marketing,Möretec,no,Workfromhome,0.0,1001,2.0,No,2025-06-27
Content and Social Media Marketing,PYB Travels,no,Chandigarh,0.0,10000,3.0,No,2025-06-27
Video Editing/Making,Binks,no,Bangalore,0.0,10000,6.0,yes,2025-06-27
Social Media,Kaleigh Cosmetics (India),no,Gurgaon,0.0,8000,2.0,No,2025-06-27
Content and Social Media Marketing,Kyte (AirLyft),no,Lucknow,0.0,12000,6.0,No,2025-06-27
Social Media Marketing,United Life Care,no,"Thane,MiraRoad",0.0,8000,3.0,No,2025-06-27
Architecture,Godrej Fund Management,no,Mumbai,0.0,10000,6.0,yes,2025-06-27
Content and Social Media Marketing,Aparna Khatter,no,Delhi,0.0,12000,3.0,No,2025-06-27
Digital Marketing,Digital ROI,yes,Pune,3.0,15000,6.0,No,2025-06-27
Digital Marketing,Innovate Digital Media,no,Mumbai,3.0,10000,6.0,No,2025-06-27
Content and Social Media Marketing,Yellow Submarine Design,no,Workfromhome,0.0,5000,3.0,No,2025-06-27
Norcet + NCLEX Exam Content Curation,Lawtech,yes,Workfromhome,0.0,8000,3.0,No,2025-06-27
Human Resources (HR),Quick Digital Technologies Private Limited,no,Bangalore,0.0,12000,3.0,No,2025-06-27
Digital Marketing,Sushram,yes,Kolkata,0.0,16000,3.0,No,2025-06-27
Visual Content Collector – iPhone Photography,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-27
Marketing,Heptaverse Technologies Private Limited,no,Mumbai,0.0,2001,6.0,No,2025-06-27
Digital Marketing,Pabulum Eats LLP,no,Pune,0.0,8000,2.0,No,2025-06-27
AI Dataset Photographer,Indiaum Solutions,yes,Workfromhome,0.0,10000,2.0,No,2025-06-27
Social Media Marketing,Mrwebsecure Infosolutions Private Limited,no,Mumbai,3.0,5002,3.0,yes,2025-06-27
HR Consultant,Wroots Global,no,Bangalore,0.0,10000,2.0,No,2025-06-27
Video Editing/Making,R R Unitrade,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Digital Marketing,Pushpa Arts Private Limited,no,Udaipur,0.0,10000,6.0,yes,2025-06-27
Telecalling,Extinct Fire Engineering Private Limited,no,Mumbai,0.0,6000,6.0,yes,2025-06-27
Social Media Manager,QuadB Tech,yes,Ludhiana,5.0,25000,6.0,No,2025-06-27
Email Marketing,SETTGO KITCHENS & CONSULTING PRIVATE LIMITED,yes,Workfromhome,0.0,1200,3.0,No,2025-06-27
Marketing,QuadB Tech,yes,Ludhiana,4.0,10000,6.0,No,2025-06-27
Video Editing/Making,Azadi Media Holdings LLP,no,Mumbai,0.0,15000,3.0,No,2025-06-27
Campus Ambassador,Career Plan B,no,"Gurgaon,Noida,Delhi",0.0,0,6.0,yes,2025-06-27
Human Resources (HR),House Of Hiranandani,no,Mumbai,0.0,10000,6.0,No,2025-06-27
Marketing,Collective Artists Network,no,Bangalore,3.0,10000,3.0,No,2025-06-27
Business Development (Sales) Manager,Attero Recycling Private Limited,no,Noida,6.0,20000,3.0,No,2025-06-27
Digital Marketing,Hytron Metals,no,Ahmedabad,0.0,9000,3.0,yes,2025-06-27
Graphic Design,AAJ Media Productions,no,Thane,0.0,10000,6.0,No,2025-06-27
Events And Outreach - Founders Office,Maati,no,Delhi,0.0,7000,3.0,No,2025-06-27
Sales and Marketing,Morphedo Technologies Private Limited,no,Noida,0.0,10000,3.0,No,2025-06-27
Finance & Accounting,Thomas Cook,yes,"Ahmedabad,Indore,Patna,Pune,Hyderabad,Mumbai,Bangalore",3.5,21000,6.0,No,2025-06-27
Full Stack Development,GLOBAL NEXT CONSULTING INDIA PVT LTD,yes,Workfromhome,2.1,5000,2.0,No,2025-06-27
Marketing,Prozone Realty Limited,no,Aurangabad,0.0,12000,3.0,yes,2025-06-27
Graphic Design,The Design Cart,yes,"Faridabad,Delhi,Ghaziabad,Gurgaon,Noida",0.0,16000,6.0,No,2025-06-27
Search Engine Optimization (SEO),VISCO International Private Limited,yes,"Gurgaon,Delhi",0.0,15000,6.0,No,2025-06-27
Quality Analyst,Kadel Labs Private Limited,no,Udaipur,0.0,12500,6.0,yes,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Doda,Udhampur,Jammu,Pulwama,Reasi,Baramula,Rajauri",0.0,15000,6.0,yes,2025-06-27
Video Editing/Making,Recruit CRM,yes,Workfromhome,0.0,7500,6.0,No,2025-06-27
Graphic Design,Jhalak Jain,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Digital Marketing,Sastorm Software Infotech Private Limited,no,Gurgaon,0.0,5000,3.0,No,2025-06-27
General Management,Boathouse Music And Entertainment Private Limited,no,Mumbai,0.0,2000,6.0,yes,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Jammu,Baramula,SambaSub-District",0.0,15000,6.0,yes,2025-06-27
Digital Marketing,Whalesbook Private Limited,yes,Workfromhome,0.0,1000,3.0,No,2025-06-27
Sales and Marketing,SkyRoots Venture LLP,no,Mumbai,0.0,16000,3.0,No,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Doda,Udhampur,Pulwama,Kathua,KupwaraSub-District,Baramula,Kishtwar",0.0,15000,6.0,yes,2025-06-27
Operations,Fairwinds Learning Services,no,Mohali,2.2,12000,6.0,yes,2025-06-27
Video Editing/Making,Eniacworld Media Private Limited,yes,Workfromhome,0.0,3500,6.0,No,2025-06-27
Python Development – Image & Visual Processing,Byteprolabs,yes,Coimbatore,0.0,15000,3.0,No,2025-06-27
CA Articleship,NIMIT B SHAH & CO,no,Ahmedabad,0.0,10000,24.0,yes,2025-06-27
E-Commerce Marketing,Ekori,no,Bangalore,0.0,10000,2.0,yes,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Doda,Kathua,KupwaraSub-District,Awantipora,Rajauri",0.0,15000,6.0,yes,2025-06-27
Business Development (Sales),Scaling Socials,yes,Bangalore,0.0,5000,3.0,No,2025-06-27
Human Resources (HR),Yash Enterprise,no,Surat,0.0,5000,3.0,yes,2025-06-27
Digital Marketing,Cynosure Corporate Solutions,no,Chennai,0.0,5000,5.0,No,2025-06-27
Business Development (Sales),Optiminastic Infomedia Private Limited,no,Mumbai,0.0,7000,6.0,yes,2025-06-27
Field Sales,Winray Infotech LLP,yes,"Pune,Mumbai",0.0,12000,3.0,No,2025-06-27
Sales,Squarebook,yes,"Thane,NaviMumbai",7.0,24000,3.0,No,2025-06-27
Creative Design,Mangostine Technologies Private Limited,yes,Noida,0.0,7000,4.0,No,2025-06-27
Sales,Mamsys,no,Noida,0.0,12000,6.0,No,2025-06-27
Product Marketing,SKILLEDGE,no,"Delhi,Gurgaon",0.0,15000,6.0,No,2025-06-27
Graphic Design,Shine Design Solutions,no,Delhi,0.0,12000,6.0,No,2025-06-27
Fashion Design,Modern Move,no,Jaipur,0.0,10000,3.0,yes,2025-06-27
Interior Design,SpaceUnbox Designs,yes,Gurgaon,0.0,7000,4.0,No,2025-06-27
Talent Acquisition,Xpheno,no,Bangalore,0.0,10000,6.0,No,2025-06-27
Content and Social Media Marketing,IYCWorld SoftInfrastructure Private Limited,no,Noida,0.0,7000,3.0,No,2025-06-27
Marketing/Sales/BD,Brandtainment Solutions Private Limited,no,"Ahmedabad,Mumbai,Nashik",0.0,2500,3.0,yes,2025-06-27
Event Management,DigiAccess,yes,"Chandigarh,Ludhiana,Punjab",0.0,13000,3.0,No,2025-06-27
Project Management,OneAlphamed,yes,Mumbai,0.0,15000,6.0,No,2025-06-27
Fashion Design And Merchandising,DOON VENTURES DIGITAL SOLUTIONS PRIVATE,no,"Dehradun,Mussoorie,Uttarakhand,Roorkee,Dhanaura,Vikasnagar,Haridwar,Rishikesh,NarendraNagar,Chakrata,Dhanaulti",0.0,12000,3.0,yes,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Udhampur,Jammu,Reasi,KupwaraSub-District,Pulwama,SambaSub-District",0.0,15000,6.0,yes,2025-06-27
Sales Consultant,Emlen Enterprises Private Limited,no,Bangalore,0.0,12000,2.0,yes,2025-06-27
MERN Stack Developer,Maxgen Technologies Private Limited,yes,Ahmedabad,0.0,12000,3.0,No,2025-06-27
Telemarketing,Ummah Herbals,no,Noida,0.0,10000,6.0,No,2025-06-27
3D Animator & Rigging Artist,Kaalalabs Consulting LLP,no,Workfromhome,0.0,8000,3.0,No,2025-06-27
Digital Marketing,Thrive Labs,no,Lucknow,0.0,10000,3.0,No,2025-06-27
Search Engine Optimization (SEO),7k Network,no,Delhi,0.0,6000,6.0,No,2025-06-27
Marketing,TaxBlock India Private Limited,yes,Pune,0.0,7000,3.0,No,2025-06-27
Video Editing/Making,Baésic Fit,no,Mumbai,0.0,12000,6.0,No,2025-06-27
Event Management,Bunny Bash Events & Rentals,yes,Bangalore,0.0,20000,2.0,No,2025-06-27
Content and Social Media Marketing,Wildpath Hospitality Private Limited,no,Workfromhome,0.0,8000,6.0,No,2025-06-27
Interior Design,Design Home Construction,no,Nagpur,0.0,4000,6.0,yes,2025-06-27
Operations,Qlub Australia,yes,Mumbai,3.0,10000,3.0,No,2025-06-27
Content Writing,Masterjitailor Online,yes,Noida,0.0,10000,6.0,No,2025-06-27
Service Coordinator,Tricog Health Services,no,Bangalore,0.0,15000,6.0,yes,2025-06-27
Marketing,React Labs Private Limited,yes,Bangalore,0.0,20000,3.0,No,2025-06-27
Business Development (Sales),Growth Cleaning,yes,Workfromhome,0.0,10000,6.0,No,2025-06-27
Microsoft Dynamics 365 Developer,Aaptatt,yes,Workfromhome,0.0,25000,6.0,No,2025-06-27
Social Media Marketing,Kinderbots Private Limited,no,Varanasi,4.5,5000,4.0,No,2025-06-27
Digital Marketing,Prodigious Online,yes,Mohali,0.0,2000,3.0,No,2025-06-27
Mobile App Development,Slayd,yes,Workfromhome,8.0,15001,6.0,No,2025-06-27
Documentation Executive,AVM Healthcare Products Private Limited,yes,Delhi,0.0,15000,6.0,No,2025-06-27
Motion Graphics (AI Tools),Integral Solution,yes,Bangalore,0.0,10000,6.0,No,2025-06-27
Virtual Assistant,Stirring Minds,yes,Workfromhome,0.0,8000,3.0,No,2025-06-27
Mobile App Development,SkinMinds Derma Pvt Ltd,yes,Workfromhome,0.0,20000,3.0,No,2025-06-27
Video Editing/Making,Branding Hunks,no,"Delhi,Ghaziabad,Noida",0.0,8000,3.0,No,2025-06-27
E-commerce Executive,Fabaybe International Private Limited,no,Agra,0.0,12000,6.0,No,2025-06-27
Marketing,Diomandz,no,Mumbai,0.0,21000,2.0,No,2025-06-27
Recruitment,V5 Global,no,Mumbai,0.0,4000,2.0,No,2025-06-27
Artificial Intelligence (AI),SkinMinds Derma Pvt Ltd,yes,Workfromhome,0.0,20000,3.0,No,2025-06-27
Event Management,Innovative Enterprises (ESFE),no,Mumbai,4.0,12000,4.0,No,2025-06-27
Financial Content Writer,Vogabe Advisors Private Limited,yes,Workfromhome,0.0,5000,6.0,No,2025-06-27
Data Engineer,MyImmune,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Sampling,Navneet Education Limited,no,Mumbai,0.0,5000,3.0,No,2025-06-27
Graphic Designing,Twin Soul Solutions Private Limited,no,Mumbai,0.0,8000,3.0,yes,2025-06-27
Telecalling,Velozity Global Solutions,yes,"Chennai,Bangalore",0.0,18000,6.0,No,2025-06-27
Operations,Kofluence,yes,Bangalore,0.0,10000,3.0,No,2025-06-27
Video Editing/Making,PatilKaki,no,"Taloja,DistRaigad",0.0,5000,3.0,yes,2025-06-27
Photography,Bathxpertz,no,Gurgaon,0.0,15000,3.0,No,2025-06-27
Video Editing/Making,Left Of Centre Marketing LLP,no,Ahmedabad,0.0,7000,3.0,yes,2025-06-27
Graphic Design,SeedWill Consulting,yes,Workfromhome,0.0,8000,6.0,No,2025-06-27
Law/Legal,The Souled Store,yes,Mumbai,0.0,10001,6.0,No,2025-06-27
Graphic Design,Pawzz,yes,Workfromhome,0.0,9000,3.0,No,2025-06-27
Telecalling,SALLAH BUSINESS SOLUTIONS PRIVATE LIMITED,no,Mumbai,0.0,18000,3.0,yes,2025-06-27
Marketing,Dislapharm,yes,Workfromhome,0.0,0,6.0,No,2025-06-27
Graphics Designer,Sri Sri Tattva,no,Bangalore,0.0,15001,2.0,No,2025-06-27
Accounting & Bookkeeping,Pratik Agency,yes,Patna,0.0,12000,6.0,No,2025-06-27
Operations & Project Management - Malayalam(Electrical/Mechanical),Inspacco,yes,Pune,4.0,10000,3.0,No,2025-06-27
Digital Marketing,The Jaipur Tradition,no,Jaipur,0.0,8000,3.0,yes,2025-06-27
Business Development (Sales),Pcred Ventures Private Limited,no,Mumbai,0.0,10000,6.0,yes,2025-06-27
Digital Marketing,Nytarra Naturals,yes,Noida,5.0,15000,3.0,No,2025-06-27
Sales,Academy Of Coaching,no,Pune,0.0,20000,6.0,yes,2025-06-27
Fashion Design,APSK Production & Entertainment Private Limited,yes,"Delhi,Jaipur,Noida",0.0,10000,3.0,No,2025-06-27
Social Media Marketing,Nextag Media,no,Noida,2.5,8000,6.0,No,2025-06-27
Customer Service/Customer Support,Giggling Gifts,no,Jaipur,0.0,3000,6.0,yes,2025-06-27
Campus Ambassador,Mentor Me,no,Workfromhome,0.0,0,3.0,No,2025-06-27
Business Development (Sales),BZ Consultant,no,Workfromhome,0.0,4000,3.0,No,2025-06-27
Video Editing/Making,Property Spotters,yes,Gurgaon,0.0,22000,2.0,No,2025-06-27
Search Engine Optimization (SEO),Vlippr,no,Workfromhome,0.0,3000,6.0,No,2025-06-27
AI Marketing Associate,AI Builders,yes,Chandigarh,0.0,20000,6.0,No,2025-06-27
Flutter Developer,Maxgen Technologies Private Limited,yes,Ahmedabad,0.0,12000,3.0,No,2025-06-27
Software Development,Compass Travel Vietnam,yes,Workfromhome,0.0,0,3.0,No,2025-06-27
Content and Social Media Marketing,Great White,no,"Delhi,Gurgaon",0.0,5000,4.0,No,2025-06-27
DA (Director’s Assistant/Assistant Director),Entertainment Quotient,yes,Mumbai,0.0,15000,6.0,No,2025-06-27
Digital Marketing (Female),P Sunderam,yes,Workfromhome,0.0,4000,3.0,No,2025-06-27
Machine Learning,Interview Ghost,yes,Workfromhome,0.0,15000,6.0,No,2025-06-27
Graphic Design,Dhimans,no,Ahmedabad,0.0,9000,3.0,No,2025-06-27
Human Resources (HR),MANOGATAM PRIVATE LIMITED,no,Mumbai,0.0,15000,6.0,No,2025-06-27
Graphic Design,IIEDM,no,Mumbai,0.0,10000,3.0,No,2025-06-27
Tamil Video Editing,Astrotalk,yes,Noida,0.0,15000,3.0,yes,2025-06-27
Business Development (Sales) Manager,Siga Systems Private Limited,no,Pune,2.0,8000,3.0,yes,2025-06-27
Motion Graphics,Break The Code,yes,"Thane,Dombivli,Kalyan,Mumbai,Virar,Bhiwandi,MiraBhayandar,NalaSopara,Dahisar,SionKoliwada,Vasai-Virar,Bandra",0.0,5000,3.0,yes,2025-06-27
Scriptwriter & Copywriting,Supernova AI,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
LinkedIn Job Posting,MediaCom India,yes,Workfromhome,0.0,4000,2.0,No,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Una,Balh,Amboa,MandiDivision,Chauli",0.0,15000,6.0,yes,2025-06-27
Corporate Sales,MyWays,no,Noida,0.0,15000,3.0,No,2025-06-27
Video Editing/Making,English Gurukul,no,Bangalore,0.0,15000,6.0,No,2025-06-27
Video Editing/Making,The Prints & Design Shop,no,Noida,0.0,15000,3.0,No,2025-06-27
Content and Social Media Marketing,Anarock Property Consultant Private Limited,no,Mumbai,0.0,15000,6.0,No,2025-06-27
Digital Marketing,Vastrachowk,no,"Delhi,Pitampura",0.0,7000,6.0,No,2025-06-27
Video Editing/Making (MALE),Get Structured Consulting Services OPC Private Limited,yes,Mumbai,0.0,10000,4.0,No,2025-06-27
Sales,Blackbuck Engineers Private Limited,no,Hyderabad,5.0,10000,3.0,No,2025-06-27
Executive Assistant,Simpeltech Labs Private Limited,no,Bangalore,0.0,9000,6.0,yes,2025-06-27
Front End Development,Interview Ghost,yes,Workfromhome,5.0,15000,6.0,No,2025-06-27
Fashion Graphic Designer,Throttle Theory,yes,Workfromhome,0.0,6000,3.0,No,2025-06-27
Graphic Design,Airtribe,yes,Bangalore,7.0,20000,3.0,No,2025-06-27
Content Development (English),BrightLane Solutions Private Limited,yes,Jhunjhunu,0.0,23000,6.0,No,2025-06-27
Business Development (Sales),Social Amplifiers,yes,Workfromhome,1.0,10000,6.0,No,2025-06-27
Business Development (Sales),Ease My Expo,no,Bangalore,1.0,10000,3.0,No,2025-06-27
Operations & Marketing,Mentors Pool,yes,Bangalore,0.0,7000,3.0,No,2025-06-27
Volunteering,Kshitiksha Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-06-27
Business Development (Sales),ABEC Limited (Asian Business Exhibitions And Conferences),no,Mumbai,0.0,20000,6.0,No,2025-06-27
Human Resources (HR),ROUTINE REGIME PRIVATE LIMITED,yes,Noida,0.0,10000,6.0,No,2025-06-27
Field Sales,Urban Property Spaces Mumbai,no,Mumbai,0.0,2000,6.0,yes,2025-06-27
Graphic Design,Sarvalay,no,Kota,3.0,5500,2.0,No,2025-06-27
Social Media And Video Editing,RishyaClips,no,Workfromhome,0.0,3000,6.0,No,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Gagret,Karsog,Bharmour,Fatehpur,Bhoranj,Mandoli,Nera,Sunehra,RamNagar",0.0,15000,6.0,yes,2025-06-27
Human Resources (HR),Ageas Federal Life Insurance,no,Mumbai,0.0,8000,6.0,No,2025-06-27
State Insurance Officer,Axi Workforce Pvt Ltd,yes,"Hamirpur,Udaipur,MandiDivision,Khanpur,Dadu,Tibbi",0.0,15000,6.0,yes,2025-06-27
Marketing,STIR,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Java Development,Engineer Diaries,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Content and Social Media Marketing,Matrix Info Systems Private Limited,no,Delhi,0.0,5000,6.0,yes,2025-06-27
Graphic Designer,Doon Ventures Digital Solutions,no,"Dehradun,Mussoorie,Roorkee,Vikasnagar,Haridwar,Rishikesh,Uttarakhand,Dhanaulti,Chakrata,Dhanaura",0.0,12000,3.0,No,2025-06-27
Telecalling,Kyoren Labs Private Limited,yes,NaviMumbai,0.0,6500,3.0,No,2025-06-27
Graphic Design,SRF Staffing And Recruitment Industry Federation,yes,Workfromhome,0.0,0,2.0,No,2025-06-27
Content And Growth,No Gimmick,no,Workfromhome,3.6,7000,6.0,No,2025-06-27
Sales,NavNow Holidays Pvt Ltd,yes,"NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-06-27
Recruitment,Web Cue,no,Mohali,3.6,25000,6.0,No,2025-06-27
Graphic Design,Shemaroo Entertainment Limited,no,Mumbai,0.0,5000,2.0,No,2025-06-27
Video Content Creator,Proxima Classes,no,Workfromhome,0.0,5500,3.0,No,2025-06-27
Analytical Chemist,Krishna Pharma,no,"Hyderabad,Uppal",0.0,5000,4.0,No,2025-06-27
E-commerce Executive,WebTech Solutions,no,Delhi,0.0,5000,3.0,No,2025-06-27
Creative Content Manager,Sanskrit Again,no,Jaipur,0.0,10001,3.0,yes,2025-06-27
Business Development (Sales) Manager,Sardaar Ji,no,Mumbai,0.0,5000,3.0,yes,2025-06-27
Telecalling,AITS Softwares,no,Thane,0.0,7000,6.0,yes,2025-06-27
Business Development (Sales),Career Launcher,no,Bangalore,0.0,5000,2.0,yes,2025-06-27
Business Strategy,BHAMBRI ENTERPRISES,no,MandiGobindgarh,5.0,20000,6.0,yes,2025-06-27
Content and Social Media Marketing,NAHATA IMPEX PRIVATE LIMITED,yes,Kolkata,0.0,15000,6.0,No,2025-06-27
Social Media Marketing,Mideaseed Marketing,no,Patna,0.0,8000,3.0,yes,2025-06-27
Social Media Marketing,Nytarra Naturals,yes,Noida,5.0,14000,3.0,No,2025-06-27
Product Manager,Bright Future Institute Private Limited,yes,Workfromhome,0.0,5000,3.0,No,2025-06-27
Digital Marketing,Break The Code,yes,"Thane,Dombivli,Kalyan,Mumbai,Virar,Bhiwandi,MiraBhayandar,NalaSopara,Dahisar,SionKoliwada,Vasai-Virar,Bandra",0.0,5000,3.0,No,2025-06-27
Teaching,SiftLens Media,yes,Workfromhome,0.0,6000,3.0,No,2025-06-27
Social Work,Kshitiksha Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-06-27
Architecture,QFA Design Consultants,no,Mumbai,0.0,10000,6.0,yes,2025-06-27
Full Stack Development,iTech Mission Private Limited,yes,Delhi,0.0,15000,6.0,No,2025-06-27
customer support,PadCare Labs,yes,Pune,0.0,15000,3.0,No,2025-06-27
Content and Social Media Marketing,SiftLens Media,yes,Workfromhome,0.0,6000,3.0,No,2025-06-27
Field Sales,ETS India Private Limited,no,Workfromhome,0.0,11000,4.0,No,2025-06-27
MIS/Data - Sales,PadCare Labs,yes,Pune,0.0,15000,3.0,No,2025-06-27
Content Writing,Digitally Next,yes,Delhi,0.0,15000,3.0,No,2025-06-27
Content and Social Media Marketing,Lit Amor,yes,Workfromhome,5.0,10000,3.0,No,2025-06-27
Punjabi Transcription QA Expert,Solvitude,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Transcription QA Expert (Marathi Language),Solvitude,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Business Development (Sales),Pi2 Square Private Limited,no,Bangalore,0.0,4000,3.0,yes,2025-06-27
Transcription QA Expert (Gujarati Language),Solvitude,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Transcription Expert Punjabi (Punjabi Audio To Text),Solvitude,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Marketing,ADVENTURE FACTORY,no,Workfromhome,0.0,13000,2.0,No,2025-06-27
UI/UX Designer,Bright Future Institute Private Limited,yes,Workfromhome,0.0,5000,3.0,No,2025-06-27
Transcription Expert (Marathi Audio To Marathi Text),Solvitude,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Sales And Operations,MatchLog Solutions Pvt Ltd,no,Mumbai,0.0,10000,3.0,yes,2025-06-27
Transcription Expert (Gujarati Audio To Gujarati Text),Solvitude,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Subject Matter Expert For School Books: Computer Science And Artificial Intelligence,Arihant Publications,yes,"Delhi,GreaterNoida,Noida",3.0,9000,3.0,No,2025-06-27
Teaching,SiftLens Media,yes,Workfromhome,0.0,6000,2.0,No,2025-06-27
Drawing Artist,SiftLens Media,yes,Workfromhome,0.0,6000,3.0,No,2025-06-27
Business Development (Sales),Techginies,yes,Baramati,0.0,8000,6.0,No,2025-06-27
Sales And Outreach (S&O),Pawzz,yes,Workfromhome,0.0,8000,3.0,No,2025-06-27
Digital Marketing,Quantazone,yes,Workfromhome,0.0,7500,6.0,No,2025-06-27
Accounting & Taxation,Manish K Sharma,no,"Delhi,Gandhinagar",0.0,10000,6.0,No,2025-06-27
Sales and Marketing,Quantazone,yes,Workfromhome,0.0,7500,6.0,No,2025-06-27
Human Resources (HR),Triceria Solutions,yes,Delhi,0.0,5000,3.0,No,2025-06-27
Chemical Engineering,ECOAMIGOS PRIVATE LIMITED,no,Hyderabad,0.0,10000,3.0,No,2025-06-27
Interior Design,Elements,yes,Mumbai,3.0,16000,6.0,No,2025-06-27
Data Entry,Pepmedia Services,yes,Mumbai,0.0,10000,5.0,No,2025-06-27
Software Development,Edith Defence Systems Private Limited,yes,NaviMumbai,0.0,15000,4.0,No,2025-06-27
Content and Social Media Marketing,Bunny Bash Events & Rentals,yes,Bangalore,0.0,12000,2.0,No,2025-06-27
Graphic Design,ServiceHive,yes,Workfromhome,8.0,18000,6.0,No,2025-06-27
Sales and Marketing,Life O2 Medical Services,no,Kolkata,0.0,3500,3.0,No,2025-06-27
Video Animator,Pujitha Prathipati,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Teaching,SiftLens Media,yes,Workfromhome,0.0,6000,3.0,No,2025-06-27
Social Sector Marketing (SS),Pawzz,yes,Workfromhome,0.0,8000,3.0,No,2025-06-27
Graphic Design,Digitally Next,yes,Delhi,0.0,15000,3.0,No,2025-06-27
Digital Marketing,Mega Lifts,no,Kolkata,0.0,13000,6.0,No,2025-06-27
Multimedia Design,PadCare Labs,yes,Pune,4.0,18000,3.0,No,2025-06-27
Digital Marketing,Janitri Innovations Private Limited,yes,Bangalore,0.0,15001,6.0,No,2025-06-27
Video Editing/Making,Janitri Innovations Private Limited,yes,Bangalore,0.0,15001,6.0,No,2025-06-27
Sales and Marketing,Education 2 Everyone,no,Hyderabad,2.0,14000,3.0,No,2025-06-27
Graphic Design,Janitri Innovations Private Limited,yes,Bangalore,0.0,15001,6.0,No,2025-06-27
Content Writing,Janitri Innovations Private Limited,yes,Bangalore,0.0,15000,6.0,No,2025-06-27
Full Stack Development,SomebodyMakeIt,yes,Workfromhome,0.0,0,3.0,No,2025-06-27
Social Work,Pawzz Foundation,yes,Workfromhome,0.0,8000,3.0,No,2025-06-27
Content Editor,FahrenWrite,yes,Workfromhome,0.0,15000,3.0,No,2025-06-27
Graphic Design,DeMasters Creative Studio,yes,Nagpur,0.0,8000,3.0,No,2025-06-27
Video Editing/Making,Scalar Tech Media Private Limited,yes,Mumbai,3.0,15000,3.0,No,2025-06-27
Founders Office Trainee,Grexa AI Private Limited,yes,"NaviMumbai,Mumbai",0.0,25000,6.0,No,2025-06-27
Cyber Security,Nexotech Solutions,yes,"Kollam,Kottayam,Kozhikode,Pathanamthitta,Thiruvananthapuram,Thrissur,Malappuram,Alappuzha,Wayanad,Idukki,Kochi,Ernakulam,Palakkad,Kannur,Kasaragod",3.5,12000,3.0,No,2025-06-27
Business Development (Sales),Aihiom Solz Private Limited,yes,Workfromhome,3.0,10000,6.0,No,2025-06-27
ReactJS Development,Engineer Diaries,yes,Workfromhome,0.0,10000,3.0,No,2025-06-27
Photography,Studio DCU,no,Bangalore,4.0,21000,6.0,yes,2025-06-27
Sales,Apparel Factory,no,Ludhiana,2.0,18000,6.0,yes,2025-06-27
Web Development,Institute Of Admissions Professionals,yes,Workfromhome,4.0,13000,3.0,No,2025-06-27
Financial Advisor,Ever Insurance,no,Pune,3.6,20000,6.0,No,2025-06-27
Associate – Partnerships & Growth,Blox Technologies Pvt Ltd,no,Workfromhome,0.0,10000,3.0,No,2025-06-27
Search Engine Optimization (SEO),Social Pill,no,Mumbai,0.0,5000,6.0,No,2025-06-27
Business Development (Sales),GrowthPal,no,Pune,0.0,7000,3.0,No,2025-06-27
