intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),early_applicant,posted_date
Operations,Supplybox,yes,Mumbai,0.0,18000,3.0,No,2025-07-02
UX/UI Design,Brandshark,yes,Bangalore,0.0,10000,3.0,No,2025-07-01
Talent Acquisition,Grexa AI Private Limited,yes,"NaviMumbai,Mumbai",0.0,10000,6.0,yes,2025-07-01
Script Writer,Tring,yes,"Thane,NaviMumbai,Mumbai,Panvel",0.0,15000,3.0,No,2025-07-01
Graphic Design,Messe Muenchen India Private Limited,yes,Mumbai,0.0,10000,3.0,No,2025-06-27
Business Development (Sales),Lime Learn Eduserv Private Limited,yes,Pune,0.0,15000,2.0,No,2025-07-02
Telecalling,Lime Learn Eduserv Private Limited,yes,Pune,0.0,15000,2.0,No,2025-07-01
Founders Office,Simit Bhagat Studios,yes,Mumbai,4.0,10000,3.0,yes,2025-07-02
Social Media Content Writing,Ecultify Advertising LLP,yes,Mumbai,0.0,20000,3.0,No,2025-06-27
Social Media Marketing,Bizup,yes,Surat,0.0,16000,3.0,No,2025-07-01
Care Operations,StrideRX,yes,Delhi,0.0,15000,6.0,No,2025-07-03
Project Management,FynTune Solution Private Limited,yes,"Thane,NaviMumbai,Vashi,Belapur,Mumbai,Turbhe,Panvel",0.0,18000,6.0,No,2025-07-01
Digital Marketing,72Cubes,yes,Rajkot,0.0,6000,6.0,yes,2025-06-27
Law/Legal,Ibus Networks And Infrastructure Pvt. Ltd,yes,Bangalore,0.0,15000,3.0,No,2025-06-28
Database Building/Management,Medius Technologies Private Limited,yes,"Thane,NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-07-02
Data Entry,Medius Technologies Private Limited,yes,"Thane,NaviMumbai,Mumbai",0.0,10000,6.0,No,2025-07-02
Architecture,"Knowledge Center, Gurgaon",yes,Gurgaon,0.0,25000,6.0,yes,2025-06-28
Customer Success Ops,Faclon,yes,Mumbai,0.0,10000,3.0,yes,2025-06-30
Sales and Marketing,I2global School,yes,Chennai,0.0,15000,3.0,yes,2025-06-30
Personal Assistant - Founders Office,Olixir Gourmet Oil,yes,Ahmedabad,0.0,10000,6.0,yes,2025-06-27
Video Editing/Making,NextBigE,yes,Noida,6.0,25000,4.0,No,2025-07-03
Sales and Marketing,Amaya Decors,yes,Moradabad,0.0,9000,3.0,yes,2025-06-27
Hindi & Marathi Photo Collection Project,Solvitude,yes,Workfromhome,0.0,12000,3.0,No,2025-07-04
Growth (School Partnerships),Edjuvenate Learnings Private Limited,yes,"Faridabad,Delhi,Mumbai,Noida",0.0,10000,2.0,No,2025-07-04
Inside Sales,Lime Learn Eduserv Private Limited,yes,Pune,0.0,15000,2.0,No,2025-07-01
Law/Legal,Kridey Foundation,yes,Workfromhome,0.0,0,3.0,No,2025-07-01
Video Editing,The Email Mafia,yes,Workfromhome,8.0,10000,3.0,No,2025-07-04
Business Development,Clean Water Solutions,yes,Indore,0.0,12000,6.0,No,2025-06-28
Video Editing/Making,Skil.ai,yes,Visakhapatnam,0.0,10000,3.0,yes,2025-06-27
Travel Consultant,Bhagyashri Holidays,yes,Pune,0.0,13000,6.0,No,2025-06-13
Lead Generation,Heterize Infotech Private Limited,yes,Indore,0.0,7000,4.0,yes,2025-06-27
Teaching & Classroom Management,Sarvam Foundation,yes,"Delhi,Gurgaon",0.0,6000,3.0,yes,2025-07-02
Sales,BNM Business Solutions LLP,yes,"Pune,NaviMumbai,Bangalore,Indore",0.0,18000,3.0,No,2025-07-03
Sales Development Representative - Lead Generation,INI8 Labs Private Limited,yes,Workfromhome,0.0,15000,3.0,No,2025-07-04
Law/Legal,Gun Rajan Constructions,yes,Mumbai,0.0,5500,3.0,No,2025-06-27
Business Development (Sales),We-Care.Club,yes,Bangalore,6.0,10000,3.0,No,2025-06-30
Content Development,Fiaxe,yes,Mumbai,0.0,5001,6.0,No,2025-07-01
E-Commerce Operations,Heterize Infotech Private Limited,yes,Indore,0.0,7000,3.0,No,2025-06-27
Company Secretary (CS),Fantasy Flora Events Private Limited,yes,Hyderabad,0.0,6000,3.0,yes,2025-06-28
Business Development (Inside Sales/Field Sales),Heterize Infotech Private Limited,yes,Indore,7.0,7000,3.0,yes,2025-06-27
Inside Sales,Heterize Infotech Private Limited,yes,Indore,7.0,7000,3.0,No,2025-06-27
Business Development (Sales),AIRONIC ARTIFICIAL INTELLIGENCE PRIVATE LIMITED,yes,"Delhi,Gurgaon,Noida",0.0,10000,3.0,No,2025-07-04
LinkedIn Marketing,CEG STAKE,yes,Workfromhome,0.0,10000,3.0,No,2025-07-04
Wix Website Developer (No Code) Wix Studio,Madquick Digital Agency,yes,Workfromhome,0.0,6000,3.0,No,2025-07-04
Field Sales,VOHRA AUTO DISTRIBUTORS Private Limited,yes,Pune,2.4,9500,6.0,yes,2025-07-01
Travel & Tourism,Vana Safaris Private Limited,yes,Delhi,0.0,15000,4.0,No,2025-07-02
Digital Marketing,Eduminatti,yes,Dehradun,0.0,2100,2.0,No,2025-06-27
Training Coordinator,Mind Appraisers,yes,Hyderabad,0.0,10000,2.0,No,2025-06-30
Search Engine Optimization (SEO),99isolutions,yes,Jaipur,0.0,7000,3.0,No,2025-06-20
Demand Generation & Marketing,ClearTax,yes,Bangalore,0.0,25000,6.0,No,2025-06-30
Social Media Manager,The Email Mafia,yes,Workfromhome,8.0,10000,3.0,No,2025-07-04
Fundraising,Muskurahat Foundation,yes,Workfromhome,0.0,10000,3.0,No,2025-07-04
Human Resources (HR),XS Associates,yes,Jaipur,3.0,7000,2.0,No,2025-06-27
Telugu Voice Recording Artist,Indiaum Solutions,yes,Bangalore,0.0,10000,2.0,No,2025-06-13
Tamil Voice Recording Artist,Indiaum Solutions,yes,Bangalore,0.0,10000,2.0,yes,2025-06-13
Graphic Design,The Email Mafia,yes,Workfromhome,8.0,10000,3.0,No,2025-07-04
Human Resources (HR),EG Allied Private Limited,yes,Jaipur,0.0,10000,3.0,No,2025-07-04
LinkedIn Outreach Specialist (Sales/SDR Role),The Free Website People,yes,Workfromhome,0.0,0,4.0,No,2025-07-04
UX/UI Design,UX Pro,yes,Workfromhome,0.0,7000,3.0,No,2025-07-04
Alliance & Sales,Akaike Technologies,yes,Bangalore,0.0,20000,3.0,No,2025-06-29
AI Editor,Filmy Curry Private Limited,yes,Indore,0.0,25000,2.0,No,2025-06-27
Audio Making/Editing,WeKids Media Network,yes,"NaviMumbai,Mumbai,Jaipur",0.0,12000,3.0,No,2025-06-13
Digital Marketing,Xsoln,yes,Jaipur,0.0,6000,4.0,No,2025-06-27
Delegate Acquisition,Times Internet,yes,Noida,0.0,10000,6.0,No,2025-07-04
Quality Analyst,FynTune Solution Private Limited,yes,"Thane,NaviMumbai,Turbhe",0.0,12000,6.0,No,2025-07-02
Telecalling(Female),Elevate X Solutions,yes,Bhubaneswar,0.0,8000,6.0,No,2025-06-27
Video Editing/Making,Zero Dimensions,yes,Ahmedabad,2.4,12000,6.0,No,2025-06-27
Business Development (Sales),Think Que Consulting Private Limited,yes,Ahmedabad,0.0,10000,6.0,No,2025-06-28
Bengali Voice Recording Artist,Indiaum Solutions,yes,Bangalore,0.0,10000,2.0,yes,2025-06-13
Hindi Voice Recording Artist,Indiaum Solutions,yes,Bangalore,0.0,10000,2.0,No,2025-06-13
Sales and Marketing,SAMYAK MANUFACTURING COMPANY,yes,Nagpur,0.0,7000,6.0,No,2025-06-27
Business Development (Sales),Natturz Bio Kontrol Private Limited,yes,Bangalore,0.0,10000,2.0,No,2025-06-30
