intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
Video Editing/Making,MiTran Global,Actively hiring,Chennai,,12000.0,3,Today,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-chennai-at-mitran-global1751542350
"HR (Team, Projects & Coordination Role)",Bhartiyneer,Actively hiring,Jodhpur,,5000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/hr-team-projects-coordination-role-internship-in-jodhpur-at-bhartiyneer1751528323
Telecalling,Right Recruit Consultancy,Actively hiring,Workfromhome,,10000.0,3,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-telecalling-internship-at-right-recruit-consultancy1751620895
Project Management,ADORE,Actively hiring,Kolkata,,4000.0,6,1 day ago,,https://internshala.com/internship/detail/project-management-internship-in-kolkata-at-adore1751523815
Operations,RedCraft Events,Actively hiring,Ahmedabad,,7000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-redcraft-events1751454386
AI Researcher (Non Tech),ABEX Excellence Private Limited,Actively hiring,Chennai,,10000.0,3,3 days ago,,https://internshala.com/internship/detail/ai-researcher-non-tech-internship-in-chennai-at-abex-excellence-private-limited1751362457
Law/Legal,Doveriye,Actively hiring,Hyderabad,,15000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/law-legal-internship-in-hyderabad-at-doveriye1751458655
Distributor Sales + Social Media Marketing (Startup Role),MASK Manpower,Actively hiring,Workfromhome,₹ 8,15000.0,6,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-distributor-sales-social-media-marketing-startup-role-internship-at-mask-manpower1751622705
Graphic Design,Pace Pivot Private Limited,Actively hiring,Bangalore,,12000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-pace-pivot-private-limited1751534863
Video Editing/Making,Zinnov Management Consulting,Actively hiring,Bangalore,,25000.0,6,1 day ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-bangalore-at-zinnov-management-consulting1751530124
Telecalling - Female,College Option,Actively hiring,"Faridabad,Delhi,Noida",₹ 2.4,27000.0,2,1 day ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-multiple-locations-at-college-option1751520281
Graphic Design,Agility AI Pvt. Ltd.,Actively hiring,Workfromhome,,6000.0,6,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-part-time-graphic-design-internship-at-agility-ai-pvt-ltd1751620869
Talent Acquisition,Creencia,Actively hiring,Bangalore,₹ 3,10000.0,3,Today,,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-creencia1751546658
Data Science,Maxgen Technologies Private Limited,Actively hiring,Ahmedabad,,12000.0,3,Few hours ago,,https://internshala.com/internship/detail/data-science-internship-in-ahmedabad-at-maxgen-technologies-private-limited1751612974
Software Testing (Automation + Manual),InstaWeb Labs Private Limited,Actively hiring,Mumbai,₹ 5,15000.0,6,Few hours ago,,https://internshala.com/internship/detail/software-testing-automation-manual-internship-in-mumbai-at-instaweb-labs-private-limited1751615941
Architecture,JC Design Studio,Actively hiring,Delhi,,10000.0,6,2 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-delhi-at-jc-design-studio1751434530
Company Secretary (CS),Krishna Popat,Actively hiring,"Palghar,Virar,Naigaon,Vasai,Boisar,MiraBhayandar,Saphale,Vangaon,Kelwa,Umroli,Nalasopara,DahisarMori",,8000.0,24,4 days ago,Be an early applicant,https://internshala.com/internship/detail/company-secretary-cs-internship-in-multiple-locations-at-krishna-popat1751266667
Inside Sales,GenieHR Solutions Private Limited,Actively hiring,Mohali,,50000.0,2,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/inside-sales-internship-in-mohali-at-geniehr-solutions-pvt-ltd1751615544
Event Organiser/Host,Tablon,Actively hiring,Bangalore,,5000.0,,1 day ago,,https://internshala.com/internship/detail/part-time-event-organiser-host-internship-in-bangalore-at-tablon1751525467
Digital Marketing,NRIWAY,Actively hiring,"Amravati,Nagpur",,3500.0,6,2 days ago,Be an early applicant,https://internshala.com/internship/detail/digital-marketing-internship-in-multiple-locations-at-nriway1751390326
Customer Service/Customer Support,NestAway Technologies Private Limited,Actively hiring,Bangalore,,17000.0,6,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-bangalore-at-nestaway-technologies-private-limited1751609422
Medical Sales,Neuralbits Technologies Private Limited,Actively hiring,"Bangalore,Koramangala",₹ 3.6,21000.0,3,1 day ago,Be an early applicant,https://internshala.com/internship/detail/medical-sales-internship-in-multiple-locations-at-neuralbits-technologies-private-limited1751516671
Office Assistant,Institute Of Admissions Professionals,Actively hiring,Bangalore,,13000.0,3,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/office-assistant-internship-in-bangalore-at-institute-of-admissions-professionals1751608755
Social Media Marketing,CyberFrat,Actively hiring,Mumbai,,8000.0,4,Today,,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-cyberfrat1751544746
Telecalling,Houzay,Actively hiring,Bangalore,,6000.0,3,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/telecalling-internship-in-bangalore-at-houzay1751609866
React Native Development,SaaSBanana Technologies,Actively hiring,Noida,₹ 4,12000.0,6,Few hours ago,,https://internshala.com/internship/detail/react-native-development-internship-in-noida-at-saasbanana-technologies1751615733
