,intern_role,company_name,hiring_type,location,job_offer(LPA),stipend_per_month,duration(months),posted_time,early_applicant,apply_links
41,Human Resources (HR),Highrise Management And Wellness Services,Actively hiring,"Ahmedabad,Navrangpura",,"2,000 - 3,000",2,2 days ago,Be an early applicant,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-highrise-management-and-wellness-services1750502641
42,Web Development,TUNGSTEN FITNESS CLUB PRIVATE LIMITED,Actively hiring,"Thane,NaviMumbai,Mumbai",,"5,000 - 6,000",6,Today,,https://internshala.com/internship/detail/web-development-internship-in-multiple-locations-at-tungsten-fitness-club-private-limited1750653751
43,Business Development (Sales),Fern Hotels & Resorts,Actively hiring,Mumbai,₹ 6,"25,000 - 35,000",6,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-fern-hotels-resorts1750417395
44,Business Development (Sales),Quadiro Technologies LLP,Actively hiring,Workfromhome,,,3,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-quadiro-technologies-llp1750692649
45,Video Editing/Making,360 Digital Idea,Actively hiring,Delhi,,,6,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-delhi-at-360-digital-idea1750686110
46,Graphic Design,Goodera,Actively hiring,Bangalore,,"15,000 - 20,000",6,Few hours ago,,https://internshala.com/internship/detail/graphic-design-internship-in-bangalore-at-goodera1750682692
47,Video Editing/Making,Brands Jar,Actively hiring,Pune,,"10,000 - 20,000",3,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/video-editing-making-internship-in-pune-at-brands-jar1750681971
48,IT Sales,NexGen Innovators IT Services Private Limited,Actively hiring,Delhi,₹ 3,"8,000 - 10,000",3,3 days ago,,https://internshala.com/internship/detail/it-sales-internship-in-delhi-at-nexgen-innovators-it-services-private-limited1750419419
49,Ecommerce Management (Shopify),Qreative,Actively hiring,Mumbai,,"7,000 - 12,000",3,Today,,https://internshala.com/internship/detail/ecommerce-management-shopify-internship-in-mumbai-at-qreative1750649554
50,Ecommerce Management (Shopify),Qreative,Actively hiring,Mumbai,,"7,000 - 12,000",3,Today,,https://internshala.com/internship/detail/ecommerce-management-shopify-internship-in-mumbai-at-qreative1750649554
51,Photography,Www.preciouscarats.com,Actively hiring,"Faridabad,Gurgaon,Delhi",,"27,000 - 40,000",2,Today,,https://internshala.com/internship/detail/photography-internship-in-multiple-locations-at-wwwpreciouscaratscom1750656024
52,Client Servicing,ROHA ASSOCIATES LLP,Actively hiring,Punewadi,,"6,000 - 18,500",3,5 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-client-servicing-internship-in-punewadi-at-pratik-kale1750249235
53,Performance Marketing,1% Media,Actively hiring,Ahmedabad,,"5,000 - 15,000",3,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/performance-marketing-internship-in-ahmedabad-at-1-media1750680435
54,Business Development (Sales),Pro India,Actively hiring,Gurgaon,₹ 3,"10,000 - 32,000",6,Today,,https://internshala.com/internship/detail/business-development-sales-internship-in-gurgaon-at-pro-india1750646015
55,Business Development (Sales),A&B Digital,Actively hiring,Mumbai,,"12,501 - 32,500",3,3 days ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-a-b-digital1750399247
56,Sales and Marketing,Landmark Realty,Actively hiring,Mumbai,,,6,3 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-and-marketing-internship-in-mumbai-at-landmark-realty1750422517
57,Architecture,RampMyCity,Actively hiring,Mumbai,,"20,000 - 25,000",4,3 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-mumbai-at-rampmycity1750400603
58,Graphic Design,Think EBikeGO Private Limited,Actively hiring,Mumbai,,"7,000 - 12,000",3,Few hours ago,Be an early applicant,https://internshala.com/internship/detail/graphic-design-internship-in-mumbai-at-think-ebikego-private-limited1750674454
59,Video Editing/Making,Avaesa,Actively hiring,Chennai,,"10,000 - 12,000",4,2 days ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-chennai-at-avaesa1750505031
60,Human Resources (HR),IndiTab Esolutions Private Limited,Actively hiring,Noida,₹ 2.2,"7,000 - 10,000",6,Few hours ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-noida-at-inditab-esolutions-private-limited1750680776
61,Video Editing/Making,GrowthGear,Actively hiring,Gurgaon,,"10,000 - 11,000",2,Few hours ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-gurgaon-at-growthgear1750674908
62,Environmental Sciences,Pro India,Actively hiring,Gurgaon,₹ 3.5,"13,000 - 24,000",4,Today,,https://internshala.com/internship/detail/environmental-sciences-internship-in-gurgaon-at-pro-india1750645641
63,Graphic Design,Cleverhat Studios,Actively hiring,Hyderabad,,,3,Few hours ago,,https://internshala.com/internship/detail/graphic-design-internship-in-hyderabad-at-cleverhat-studios1750680614
64,Graphic Design,Digital ROI,Actively hiring,Pune,₹ 2.5,"9,000 - 10,000",6,3 weeks ago,,https://internshala.com/internship/detail/graphic-design-internship-in-pune-at-digital-roi1748340711
65,Inside Sales,Digital ROI,Actively hiring,Pune,₹ 2.1,"8,000 - 10,000",3,3 weeks ago,,https://internshala.com/internship/detail/inside-sales-internship-in-pune-at-digital-roi1747898217
66,Company Secretary (CS),Bhat Joshi & Co. LLP,Actively hiring,Pune,,"6,000 - 12,000",24,3 days ago,Be an early applicant,https://internshala.com/internship/detail/company-secretary-cs-internship-in-pune-at-bhat-joshi-co-llp1750412429
67,Graphic Design,The Trading Fox,Actively hiring,Jaipur,₹ 3,"15,000 - 20,000",6,3 days ago,,https://internshala.com/internship/detail/graphic-design-internship-in-jaipur-at-the-trading-fox1750411572
68,Social Media Marketing,InAmigos Foundation,Actively hiring,Workfromhome,,"2,000 - 3,500",,Just now,Be an early applicant,https://internshala.com/internship/detail/work-from-home-social-media-marketing-internship-at-inamigos-foundation1750691416
69,Graphic Design,Alphanumeric Ideas Private Limited,Actively hiring,Mohali,₹ 2.4,"2,000 - 6,000",3,3 days ago,Be an early applicant,https://internshala.com/internship/detail/part-time-graphic-design-internship-in-mohali-at-alphanumeric-ideas-private-limited1750397913
70,Human Resources (HR),CollegeDekho.com,Actively hiring,Gurgaon,,,2,Few hours ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-gurgaon-at-collegedekhocom1750667103
71,Product,Saregama India Limited,Actively hiring,Mumbai,,"8,000 - 10,000",6,Few hours ago,,https://internshala.com/internship/detail/product-internship-in-mumbai-at-saregama-india-limited1750671203
72,Business Development (Sales),Trends Innovative Concepts Private Limited,Actively hiring,"Pune,Mumbai,ChhatrapatiSambhajinagar(Aurangabad),ChhatrapatiSambhajinagar",₹ 8,"33,000 - 1,25,000",3,Few hours ago,,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-trends-innovative-concepts-pvt-ltd1750673507
73,Sales,BNM Business Solutions LLP,Actively hiring,Vadodara,₹ 1,,2,7 days ago,Be an early applicant,https://internshala.com/internship/detail/sales-internship-in-vadodara-at-bnm-business-solutions-llp1750049495
74,Chartered Accountancy (CA),Jimulia Devang Dahyalal,Actively hiring,Mumbai,,,12,3 weeks ago,Be an early applicant,https://internshala.com/internship/detail/chartered-accountancy-ca-internship-in-mumbai-at-jimulia-devang-dahyalal1748069770
75,Architecture,Yupland,Actively hiring,Delhi,,"10,000 - 13,000",4,5 days ago,Be an early applicant,https://internshala.com/internship/detail/architecture-internship-in-delhi-at-yupland1750243292
76,Videography,The Trading Fox,Actively hiring,Jaipur,₹ 2,,6,5 days ago,Be an early applicant,https://internshala.com/internship/detail/videography-internship-in-jaipur-at-the-trading-fox1750227207
77,Social Media Ads,Sid&co,Actively hiring,Jaipur,,"8,000 - 10,000",6,4 days ago,,https://internshala.com/internship/detail/social-media-ads-internship-in-jaipur-at-sid-co1750327232
78,Content Creation,Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/content-creation-internship-in-mumbai-at-right-health-india1750671490
79,Influencer Marketing,Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/influencer-marketing-internship-in-mumbai-at-right-health-india1750671234
80,Content Research & Hook Line – Ghumo Jaipur,Eniacworld Media Private Limited,Actively hiring,Jaipur,,,3,Few hours ago,,https://internshala.com/internship/detail/part-time-content-research-hook-line--ghumo-jaipur-internship-in-jaipur-at-eniacworld-media-private-limited1750671083
81,Logistics And Operations,WhizJuniors,Actively hiring,Vasai,,"6,000 - 8,000",6,2 days ago,,https://internshala.com/internship/detail/logistics-and-operations-internship-in-vasai-at-whizjuniors1750505982
82,Creative Writing,Cleverhat Studios,Actively hiring,Hyderabad,,,3,Few hours ago,,https://internshala.com/internship/detail/creative-writing-internship-in-hyderabad-at-cleverhat-studios1750672605
83,Human Resources (HR),First Attempt,Actively hiring,Jaipur,,"10,000 - 35,000",3,4 days ago,,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-first-attempt1750326761
84,Video Editing/Making,Right Health India,Actively hiring,Mumbai,₹ 6,"8,000 - 20,000",3,Few hours ago,,https://internshala.com/internship/detail/video-editing-making-internship-in-mumbai-at-right-health-india1750665696
85,Customer Service/Customer Support,The Trading Fox,Actively hiring,Jaipur,₹ 3,"10,000 - 15,000",6,4 days ago,,https://internshala.com/internship/detail/customer-service-customer-support-internship-in-jaipur-at-the-trading-fox1750309211
86,Telecalling,TURANT LOGISTICS,Actively hiring,Patna,,"6,000 - 15,000",3,7 days ago,,https://internshala.com/internship/detail/telecalling-internship-in-patna-at-turant-logistics1750053498
