,intern_role,company_name,hiring_type,location,job_offer(LPA),duration(months),posted_time,early_applicant,apply_links,stipend_min,stipend_max
5127,Business Development (Sales),Orane Marketing,0.0,Delhi,0.0,3.0,21,No,https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-orane-marketing1748874009,10000.0,15000
5128,Sales,Global Pet Cab,1.0,Bangalore,4.0,2.0,21,No,https://internshala.com/internship/detail/sales-internship-in-bangalore-at-global-pet-cab1748873517,12000.0,15000
5129,Video Editing/Making,The Affordable Organic Store,1.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-video-editing-making-internship-at-the-affordable-organic-store1748880179,5000.0,10000
5130,Media & Public Relations (PR),Puraskaar Foundation,0.0,Workfromhome,0.0,4.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-media-public-relations-pr-internship-at-puraskaar-foundation1748879549,5000.0,10000
5131,Motion Editor,Simit Bhagat Studios,1.0,Mumbai,4.0,3.0,21,No,https://internshala.com/internship/detail/motion-editor-internship-in-mumbai-at-simit-bhagat-studios1748879274,8000.0,10000
5132,Nuclear Engineer,Standard Auxiliary Private Limited,0.0,"Ahmedabad,Surat",0.0,6.0,21,yes,https://internshala.com/internship/detail/nuclear-engineer-internship-in-multiple-locations-at-standard-auxiliary-private-limited1748879044,5000.0,10000
5133,Digital Marketing,Deeesha Fin Tech,0.0,Mumbai,0.0,2.0,21,No,https://internshala.com/internship/detail/digital-marketing-internship-in-mumbai-at-deeesha-fin-tech1748878870,5000.0,10000
5134,Digital Marketing,Surya's Mib,0.0,Chennai,2.0,3.0,21,No,https://internshala.com/internship/detail/digital-marketing-internship-in-chennai-at-suryas-mib1748871248,2001.0,3010
5135,Business Development (Sales),Mydigitaldudes Technology LLP,0.0,Workfromhome,0.0,4.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-mydigitaldudes-technology-llp1748878157,3500.0,7000
5136,Human Resources (HR),ProGetters,0.0,"Pune,Pimpri-Chinchwad",0.0,6.0,21,No,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-progetters1748871234,6000.0,8000
5137,Photography,Kaya,0.0,Mumbai,0.0,2.0,21,yes,https://internshala.com/internship/detail/photography-internship-in-mumbai-at-kaya1748871043,4500.0,5500
5138,Teaching,NR Enterprises (Tales And Tantra),0.0,Lucknow,0.0,6.0,21,yes,https://internshala.com/internship/detail/part-time-teaching-internship-in-lucknow-at-nr-enterprises-tales-and-tantra1748877701,4000.0,7000
5139,Social Media Marketing,RECCEMEDIA HOUSE LLP,0.0,Pune,0.0,3.0,21,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-pune-at-reccemedia-house-llp1748877512,10000.0,15000
5140,Business Development (Sales),Gined,0.0,Bangalore,0.0,2.0,21,No,https://internshala.com/internship/detail/business-development-sales-internship-in-bangalore-at-gined1748877416,15000.0,18000
5141,Digital Marketing Manager,Goalisb,0.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-digital-marketing-manager-internship-at-goalisb1748877213,4000.0,5000
5142,Field Sales Associate/Executive,PULSTRON COMPANY,0.0,Bulandshahr,0.0,6.0,21,yes,https://internshala.com/internship/detail/field-sales-associate-executive-internship-in-bulandshahr-at-pulstron-company1748876884,3500.0,6500
5143,Email Marketing Specialist,PULSTRON COMPANY,0.0,Bulandshahr,0.0,6.0,21,yes,https://internshala.com/internship/detail/email-marketing-specialist-internship-in-bulandshahr-at-pulstron-company1748876926,3500.0,6500
5144,Content Writing,Programming World Digital Solutions,0.0,KanpurDehat,0.0,6.0,21,No,https://internshala.com/internship/detail/content-writing-internship-in-kanpur-dehat-at-programming-world-digital-solutions1748868546,7000.0,10000
5145,Full Stack Development,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-full-stack-development-internship-at-aadhvik-technologies1748875615,1000.0,2000
5146,Python Development,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-python-development-internship-at-aadhvik-technologies1748875568,1000.0,2000
5147,Data Science,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-data-science-internship-at-aadhvik-technologies1748875533,1000.0,2000
5148,Sales and Marketing Manager,Torainse Lifecase Private Limited,0.0,"Chandigarh,Mohali",0.0,6.0,21,yes,https://internshala.com/internship/detail/sales-and-marketing-manager-internship-in-multiple-locations-at-torainse-lifecase-private-limited1748875260,5000.0,15000
5149,Social Media Marketing,Harns Technologies Private Limited,0.0,Mumbai,0.0,6.0,21,No,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-harns-technologies-private-limited1748867941,8000.0,12000
5150,Front End Development,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-front-end-development-internship-at-aadhvik-technologies1748874895,1000.0,2000
5151,SQL DEVELOPER,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-sql-developer-internship-at-aadhvik-technologies1748874869,1000.0,2000
5152,Cyber Security,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-cyber-security-internship-at-aadhvik-technologies1748874842,1000.0,2000
5153,Business Development (Sales),BZ Consultant,0.0,Ghaziabad,0.0,2.0,21,No,https://internshala.com/internship/detail/business-development-sales-internship-in-ghaziabad-at-bz-consultant1748874805,4400.0,7500
5154,Sales and Marketing,DK Realtors And Interiors,0.0,"Delhi,Gurgaon,Noida",0.0,2.0,21,No,https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-dk-realtors-and-interiors1748874669,12000.0,10000
5155,Java Development,Aadhvik Technologies,1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-part-time-java-development-internship-at-aadhvik-technologies1748874624,1000.0,2000
5156,Field Sales,Rise Retail & Payment Solutions Private Limited,0.0,Pune,0.0,2.0,21,yes,https://internshala.com/internship/detail/field-sales-internship-in-pune-at-rise-retail-payment-solutions-private-limited1748867133,5000.0,7000
5157,Administration,Abhinav Sharma,0.0,Meerut,0.0,4.0,21,yes,https://internshala.com/internship/detail/administration-internship-in-meerut-at-abhinav-sharma1748874100,5500.0,16500
5158,Social Media Marketing,BooleanWorld Solutions Pvt Ltd,0.0,Vadodara,0.0,3.0,21,yes,https://internshala.com/internship/detail/social-media-marketing-internship-in-vadodara-at-booleanworld-solutions-pvt-ltd1748873924,2000.0,2001
5159,Marketing,RAM Management Consultancy,0.0,"Kolkata,WestBengal",0.0,3.0,21,No,https://internshala.com/internship/detail/marketing-internship-in-multiple-locations-at-ram-management-consultancy1748866704,6000.0,8000
5160,Marketing,ProTeam Softwares India Private Limited,0.0,Chennai,0.0,3.0,21,No,https://internshala.com/internship/detail/marketing-internship-in-chennai-at-proteam-softwares-india-private-limited1748865697,9999.0,10000
5161,Full Stack Development,Inxtinct Security,1.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-inxtinct-security1748865652,5000.0,7000
5162,Student Work Placement Coordinator,LineupX,0.0,Mumbai,0.0,6.0,21,No,https://internshala.com/internship/detail/student-work-placement-coordinator-internship-in-mumbai-at-lineupx1748871835,10000.0,12000
5163,Human Resources (HR),Kallakunta Healthcare Services Private Limited (Primera Dental Hub),1.0,Workfromhome,0.0,3.0,21,No,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-kallakunta-healthcare-services-private-limited-primera-dental-hub1748871528,7000.0,12000
5164,Motion Graphic Designer,Creatiwise,1.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-motion-graphic-designer-internship-at-creatiwise1748871486,12000.0,10000
5165,Motion Graphics,Creatiwise,1.0,Workfromhome,0.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-motion-graphics-internship-at-creatiwise1748871452,12000.0,10000
5166,Content Writing,Astrotalk,1.0,Noida,5.0,3.0,21,No,https://internshala.com/internship/detail/content-writing-internship-in-noida-at-astrotalk1748871376,5000.0,10000
5167,Graphic Design,Creatiwise,1.0,Workfromhome,3.0,6.0,21,No,https://internshala.com/internship/detail/work-from-home-graphic-design-internship-at-creatiwise1748870838,12000.0,10000
5168,Media & Public Relations (PR),Prashant Brahmang,0.0,Mumbai,0.0,3.0,21,No,https://internshala.com/internship/detail/part-time-media-public-relations-pr-internship-in-mumbai-at-prashant-brahmang1748870424,6001.0,11000
5169,Content Writing,Women's Business Incubation Program,0.0,Thiruvananthapuram,0.0,2.0,21,yes,https://internshala.com/internship/detail/content-writing-internship-in-thiruvananthapuram-at-womens-business-incubation-program1748862768,10000.0,15000
5170,Business Development (Sales) Manager,Mevlana Technologies Private Limited,0.0,Gurgaon,0.0,6.0,21,yes,https://internshala.com/internship/detail/business-development-sales-manager-internship-in-gurgaon-at-mevlana-technologies-private-limited1748869807,15000.0,25000
5171,Content & E-Commerce Management,Morecare Mobility,0.0,Jaipur,0.0,3.0,21,No,https://internshala.com/internship/detail/content-e-commerce-management-internship-in-jaipur-at-morecare-mobility1748869321,12000.0,15000
5172,Business Development Executive Intern,Euro Dreams - Study Abroad Consultancy,0.0,Indore,0.0,4.0,21,yes,https://internshala.com/internship/detail/business-development-executive-intern-internship-in-indore-at-rishita-mahawar1748869356,5000.0,10000
